Score,Text,Summary,HelpfulnessNumerator,HelpfulnessDenominator,helpfulness_ratio,word_count,Sentiment,clean_text
2,"I really wanted this to work...we have had major problems with various critters eating our garden this year...most of our plants have been stripped, nibbled to nubs, dug up, or eaten as seeds.  For certain there are some rabbits, some mice, some birds, chipmunks and lizards involved here to varying degrees.  This just flat didn't help. This was no more effective than sprinkling cayenne, spraying garlic or anything else we've tried.  It's a nice big bottled filled with stinky powder that doesn't do anything more than use up some money that could feed a nice snake for the garden, dog for the yard, or cat to attack visiting rodents.  I've tried way too many sprays and powders by now and am moving on to fences and hanging baskets.  For a minor problem this may be worth something to someone...though I'd go for cayenne over this for the neighborhood cats pooping in the yard. This won't save what the non-domestics want to nibble.",Save the Money and Get a Dog...or Some Big Cats...or a Snake,0,0,0.0,162,Negative,really wanted workwe major problems various critters eating garden yearmost plants stripped nibbled nubs dug eaten seeds certain rabbits mice birds chipmunks lizards involved varying degrees flat didnt help effective sprinkling cayenne spraying garlic anything else weve tried nice big bottled filled stinky powder doesnt anything use money could feed nice snake garden dog yard cat attack visiting rodents ive tried way many sprays powders moving fences hanging baskets minor problem may worth something someonethough id go cayenne neighborhood cats pooping yard wont save nondomestics want nibble
5,"I love this product.  It smells sooooooo good.  It goes on very easily and the texture is very smooth.  It absorbs into the skin quickly and my eye make-up stays on as usual.  What is even more interesting, is that my skin feels so smooth where I have applied this cream.  Unusually smooth.  I think it provides more than adequate hydration to my eye area and a little bit goes a long way.  I am very happy with this product and will purchase more when I run out.  I hope that they come up with a SPF formula to go along with this product.",Wonderful Eye Cream,4,4,1.0,104,Positive,love product smells sooooooo good goes easily texture smooth absorbs skin quickly eye makeup stays usual even interesting skin feels smooth applied cream unusually smooth think provides adequate hydration eye area little bit goes long way happy product purchase run hope come spf formula go along product
5,"I am very pleased with the taste and flexibility of Splenda.  The taste to me is no different than regular sugar, much healthier product.  I was very skeptical at first to try something new like this product.  This is my second shipment so far and I plan to purchase other varieties of Splenda.<br />I use every day in my coffee and cereal.  I've altered my fudge recipes and my family can tell no difference, since the taste is so good.  I highly recommend this product.",No Cal wonder,0,0,0.0,85,Positive,pleased taste flexibility splenda taste different regular sugar much healthier product skeptical first try something new like product second shipment far plan purchase varieties splendabr use every day coffee cereal ive altered fudge recipes family tell difference since taste good highly recommend product
2,"Blackberry and pomegranate, green tea, and honey sounds like a lovely combination. Unfortunately, none of those flavors come through in this product.<br /><br />Despite a honey and sugar combination being the first ingredient, the artificial sweetener dominates the flavor of this drink. A berry-fruity-acidic flavor is the next most prominent, but if i'd tried this drink blind i don't think i ever would have guessed it was supposed to be blackberry and pomegranate. I couldn't catch the faintest whiff of green tea flavor or honey, no matter how hard i tried.<br /><br />When i made my first glass of this, i probably mixed it too strong. A single packet (two servings) is supposed to go in a 16.9 ounce bottle of water, but i just mixed mine into a glass. It took a fair bit of stirring to get it to dissolve.<br /><br />My first sip was of an overwhelmingly cloying mixture. It was like being punched in the mouth with fake sugar.<br /><br />I poured half the glass out, and refilled with water. Same experience, but more of a slap than a punch. I continued pouring some out and refilling with water, hoping that at some point it would taste less like fake sugar and more like any of the components advertized on the front. Unfortunately, as i diluted it more and more, the acidic generic fruit flavor faded out, while the artificial sweetener stayed strong. Never did green tea or honey visit my tongue.<br /><br />I suppose for a person totally habituated to artificial sweeteners, this product will taste entirely different. However, if you assume based on the fact that 'honey' is featured prominently on the front of the box that this product is naturally sweetened, you're in for a nasty surprise.",real sugar AND fake sugar - the worst of both worlds,1,2,0.5,294,Negative,blackberry pomegranate green tea honey sounds like lovely combination unfortunately none flavors come productbr br despite honey sugar combination first ingredient artificial sweetener dominates flavor drink berryfruityacidic flavor next prominent id tried drink blind dont think ever would guessed supposed blackberry pomegranate couldnt catch faintest whiff green tea flavor honey matter hard triedbr br made first glass probably mixed strong single packet two servings supposed go 169 ounce bottle water mixed mine glass took fair bit stirring get dissolvebr br first sip overwhelmingly cloying mixture like punched mouth fake sugarbr br poured half glass refilled water experience slap punch continued pouring refilling water hoping point would taste less like fake sugar like components advertized front unfortunately diluted acidic generic fruit flavor faded artificial sweetener stayed strong never green tea honey visit tonguebr br suppose person totally habituated artificial sweeteners product taste entirely different however assume based fact honey featured prominently front box product naturally sweetened youre nasty surprise
4,"I really like these instant Starbucks decaf tubes.  They make a pretty good tasting cup of coffee, and are very easy.  My 4 star rating is simply because I received product from Amazon that had less than 3 months before the expiration date; I usually see 11-12 months when I buy it in the store.","Great product, but near expiration date",1,2,0.5,55,Positive,really like instant starbucks decaf tubes make pretty good tasting cup coffee easy 4 star rating simply received product amazon less 3 months expiration date usually see 1112 months buy store
5,"I found a brick of Lavazza Crema e Gusto at a local shop some months ago, and tried it in my stovetop espresso maker. For some reason I thought the grind was what I needed (it *does* have a picture of a stovetop machine on it!) but the grind is really very fine, more like what a professional-type machine needs.<br /><br />But this works even in my <a href=""http://www.amazon.com/gp/product/B0001DJT7G"">Bialetti Brikka 4-Cup Stovetop Percolator</a> stovetop machine, and generates a beautiful crema. The Brikka really wants a slightly coarser grind, so I have to be *very* careful to put in the coffee with a light touch, and not to pack it down even a tiny bit.<br /><br />The flavor, as others have written, is very rich without being too dark-roasted, with lovely chocolatey notes. Bitterness can come if I overfill the maker so that the coffee is packed too hard, which causes boiling and burning. So care must be taken when using a stovetop maker. But it's truly worth it, because it gives such delicious coffee.","Rich and flavorful - even from the ""wrong"" pot!",11,11,1.0,174,Positive,found brick lavazza crema e gusto local shop months ago tried stovetop espresso maker reason thought grind needed picture stovetop machine grind really fine like professionaltype machine needsbr br works even hrefhttpwwwamazoncomgpproductb0001djt7gbialetti brikka 4cup stovetop percolatora stovetop machine generates beautiful crema brikka really wants slightly coarser grind careful put coffee light touch pack even tiny bitbr br flavor others written rich without darkroasted lovely chocolatey notes bitterness come overfill maker coffee packed hard causes boiling burning care must taken using stovetop maker truly worth gives delicious coffee
4,"My SO and I love this crust.  When making it looks like it is not going to become dough like because so little liquid is used.  However just keep kneading and it will come together.  The first time  we made it, it did have a slight after taste but only two or three bites in the whole pizza.  So we used a recipe posted in the review about using 3/4 a cup of olive oil drizzled in slowly while kneading and the dough came out a almost the same as before but no after taste this time.",Good gluten free crust,0,0,0.0,97,Positive,love crust making looks like going become dough like little liquid used however keep kneading come together first time made slight taste two three bites whole pizza used recipe posted review using 34 cup olive oil drizzled slowly kneading dough came almost taste time
1,"This coffee smells and tastes absolutely disgusting.  It smells like sugared rubbing alcohol.  It tastes like vomit.  I have never disliked a coffee flavor so much before, and I am at a complete loss when it comes to explaining how it got such favorable reviews.<br /><br />I bought the item elsewhere and  cannot comment on the seller.",Absolutely disgusting.,1,2,0.5,57,Negative,coffee smells tastes absolutely disgusting smells like sugared rubbing alcohol tastes like vomit never disliked coffee flavor much complete loss comes explaining got favorable reviewsbr br bought item elsewhere cannot comment seller
2,"I'm surprised to be in the minority on this, but the Vanilla flavor of VIA is just too sweet.  It tastes like liquefied marshmallows.  I couldn't even finish the first cup, and I also gave one to a colleague with the suggestion to add a little extra water and maybe a little milk to dilute the shock of syrupy coffee, but she couldn't finish hers either.  I love a Vanilla Latte made at Starbucks, and am also a fan of the Vanilla brewed coffee, but I wouldn't purchase the VIA (at least the vanilla flavor) again, and I gave away the remaining 4 packs. I am still on the lookout for an excellent instant coffee, so if I try any more flavors, I'll update this review.<br /><br />Update:  Also sampled the Carmel flavor which unfortunately I also find overbearingly sweet.  What a bummer.",Vanilla and Carmel are much too sweet...,3,3,1.0,143,Negative,im surprised minority vanilla flavor via sweet tastes like liquefied marshmallows couldnt even finish first cup also gave one colleague suggestion add little extra water maybe little milk dilute shock syrupy coffee couldnt finish either love vanilla latte made starbucks also fan vanilla brewed coffee wouldnt purchase via least vanilla flavor gave away remaining 4 packs still lookout excellent instant coffee try flavors ill update reviewbr br update also sampled carmel flavor unfortunately also find overbearingly sweet bummer
5,This is the best red rooibos tea I have found!! Recommend it to all my friends...,Great tea...,0,0,0.0,16,Positive,best red rooibos tea found recommend friends
2,"I'm sticking with what used to be carnation, now nestles malt. this stuff tastes like powdered milk with a hint of soy.",Yuck,0,1,0.0,22,Negative,im sticking used carnation nestles malt stuff tastes like powdered milk hint soy
5,"These chips are some of the best I've tasted. They are not filled with chemicals. You taste the tangy vinegar as well as the potato. Not greasy. Perfectly crispy. If you don't like salt and vinegar tanginess, don't even bother to try. These definitely have zip. I love them. My children and their friends love them. Even my 4 year old loves them!",Fabulous!,0,0,0.0,63,Positive,chips best ive tasted filled chemicals taste tangy vinegar well potato greasy perfectly crispy dont like salt vinegar tanginess dont even bother try definitely zip love children friends love even 4 year old loves
5,"I am a fan of spices... No one has what Tabasco has. The healthiest out there. Only 30 mg of salt per spoon. Others not only cannot compete with Tabasco's taste but they have 200 plus mg of salt in each spoon. That is ridiculous amount of salt. Do not need to refrigerate the Tabasco bottle for one year at all so you can leave it outside at room temperature.  I have been using Tabasco for 40 years all over the world. I add <a href=""http://www.amazon.com/gp/product/B002HNS55A"">TABASCO brand Pepper Sauce - Original Red Gallon</a> to all my dishes since it is the spiciest of all. It is not thick like the Chipotle but it is very unique test when I am making dishes that have many different ingredients since it mixes well. I add <a href=""http://www.amazon.com/gp/product/B002HNZRKQ"">TABASCO brand Chipotle Pepper Sauce - Gallon</a> to the tortilla pizza that I make with cheese and herring since this is heavier and tastier but not as spicy as the original red or green. I add the green <a href=""http://www.amazon.com/gp/product/B002HNQV2Y"">TABASCO brand Green Jalapeno Pepper Sauce - Gallon</a> with anything that I make with eggs including the egg sandwich in between tortillas since this is the best with eggs. I love beans and lintels so after cooking those I add serrano chilli pepper deeped in Italian vinegar, extra virgin olive oil, eggplant and the Habanero <a href=""http://www.amazon.com/gp/product/B002HO0F1Q"">TABASCO brand Habanero Sauce - Gallon</a> and I can tell you that becomes real hot. I place the mix in between hot tortilla with avocados for consumption. Now that does not mean that I am limited with these food selections since many times I may mix all those Tabascos together. Regardless, I have never been disappointed since it is truly delicious, spicy, hot without all the garbage and additives that it is out there in other brands without the taste. I have a very healthy diet and I consume healthy food without additives. Thanks and Double bravo to Tabasco.",The Best...,0,0,0.0,328,Positive,fan spices one tabasco healthiest 30 mg salt per spoon others cannot compete tabascos taste 200 plus mg salt spoon ridiculous amount salt need refrigerate tabasco bottle one year leave outside room temperature using tabasco 40 years world add hrefhttpwwwamazoncomgpproductb002hns55atabasco brand pepper sauce original red gallona dishes since spiciest thick like chipotle unique test making dishes many different ingredients since mixes well add hrefhttpwwwamazoncomgpproductb002hnzrkqtabasco brand chipotle pepper sauce gallona tortilla pizza make cheese herring since heavier tastier spicy original red green add green hrefhttpwwwamazoncomgpproductb002hnqv2ytabasco brand green jalapeno pepper sauce gallona anything make eggs including egg sandwich tortillas since best eggs love beans lintels cooking add serrano chilli pepper deeped italian vinegar extra virgin olive oil eggplant habanero hrefhttpwwwamazoncomgpproductb002ho0f1qtabasco brand habanero sauce gallona tell becomes real hot place mix hot tortilla avocados consumption mean limited food selections since many times may mix tabascos together regardless never disappointed since truly delicious spicy hot without garbage additives brands without taste healthy diet consume healthy food without additives thanks double bravo tabasco
5,"These are a favorite candy treat but, for some reason, unavailable in local stores.  Delivery was in good time.",Wonderful  candy bars!,1,1,1.0,19,Positive,favorite candy treat reason unavailable local stores delivery good time
5,"After finding this oddity in my local grocery store, I was intrigued and purchased it completely on impulse. I was not disappointed at my findings and now purchase it on a regular basis.<br /><br />Very tasty.",YAY! Cheddar Ramen!,3,4,0.75,36,Positive,finding oddity local grocery store intrigued purchased completely impulse disappointed findings purchase regular basisbr br tasty
2,My dog ripped this to pieces in a few hours.  He did enjoy it but I had hoped for a toy that would last longer.  My dog is a SERIOUS chewer so it may be fine for other dogs.,not for serious chewers,4,4,1.0,39,Negative,dog ripped pieces hours enjoy hoped toy would last longer dog serious chewer may fine dogs
5,This tea kit is wonderful. It has wonderful tea that really does what it says. I love the heartburn tea. It helped when downing a ton of antacids did not.,Lovely Tea,0,0,0.0,30,Positive,tea kit wonderful wonderful tea really says love heartburn tea helped downing ton antacids
4,"This herbal tea is well balanced and pleasant.  It tastes to me like good real lemon, but not acidic.  The ginger seems just enough.  Bonus; you can use the bag twice and get a good cup of tea the second time.  Also, it's nice to steep this with black tea, and get a bit of caffeine if you choose, along with the ginger / lemon flavors.",Fresh ginger & mellow lemon,3,3,1.0,66,Positive,herbal tea well balanced pleasant tastes like good real lemon acidic ginger seems enough bonus use bag twice get good cup tea second time also nice steep black tea get bit caffeine choose along ginger lemon flavors
4,It was fragrant. My house smelled like basmati rice for hours.The cooked grains don't have that fragrant smell though. This cooked really quickly - a lot quicker than expected.<br />I'm happy with my purchase.,Good!,2,2,1.0,34,Positive,fragrant house smelled like basmati rice hoursthe cooked grains dont fragrant smell though cooked really quickly lot quicker expectedbr im happy purchase
4,"Stash Peach Tea is the best peach tea that we've found. For some reason it is always hard to find in OKC, it sells out as soon as it appears on the local store shelves. We found the 100 count box on line and ordered it. The price was higher per bag than the 20 count boxes that we buy at the local stores, but the convenience of finding it was worth the additional money spent.",Great Tea,0,0,0.0,76,Positive,stash peach tea best peach tea weve found reason always hard find okc sells soon appears local store shelves found 100 count box line ordered price higher per bag 20 count boxes buy local stores convenience finding worth additional money spent
5,"I love the waffles from this mix; they have an absolute wonderful flavor and texture in my opinion.<br /><br />However, the results are VERY different depending on which waffle maker I use.  I have made these with an old, traditional square grid waffle iron, a light-weight circular ""Belgium"" waffle maker, and a light-weight flip ""Belgium"" waffle maker, and the results were completely ordinary.  It's only after I purchased a heavier-duty flip Belgium style maker did the waffles come out gloriously light, fluffy, with a slight crispy outside:  just perfect for me.<br /><br />The results are also dependent on exactly how thick the batter comes out which depends on the size of the eggs used and on how precisely the water is measured out.  I prefer the waffles when the batter is on the ""runny"" side.  When you fill the waffle maker, a runny batter spreads quite quickly and you actually don't use as much batter per waffle.  You can still see the black parts of the ""insides"" of the grids of the waffle maker poking through the batter when you go to close the maker.  The waffles then really expand as they cook and you get a very light, fluffy waffle with a crispy outside.  Yum!",Fabulous (when using right waffle maker and consistency of batter),1,1,1.0,206,Positive,love waffles mix absolute wonderful flavor texture opinionbr br however results different depending waffle maker use made old traditional square grid waffle iron lightweight circular belgium waffle maker lightweight flip belgium waffle maker results completely ordinary purchased heavierduty flip belgium style maker waffles come gloriously light fluffy slight crispy outside perfect mebr br results also dependent exactly thick batter comes depends size eggs used precisely water measured prefer waffles batter runny side fill waffle maker runny batter spreads quite quickly actually dont use much batter per waffle still see black parts insides grids waffle maker poking batter go close maker waffles really expand cook get light fluffy waffle crispy outside yum
5,"I got this and i also got the small dog Salmon Zukes, i have a little chihuahua, he immediately loved the salmon ones, but not this, he would put it on his mouth, walk outside the kitchen and drop it on the carpet, so i had them sitting there for about a week, then i thought of smashing one and letting him eat it from my hand, ever since that day he loves them, i guess the softer stuff in the middle is tastier or something,  they are the perfect size for him too.",dislike at the beggining love them when he actually tasted them,0,0,0.0,94,Positive,got also got small dog salmon zukes little chihuahua immediately loved salmon ones would put mouth walk outside kitchen drop carpet sitting week thought smashing one letting eat hand ever since day loves guess softer stuff middle tastier something perfect size
5,We love this mix!  We use the muffin recipe on back and make donuts with our electric donut maker~YUM. All the recipes on back are wonderful.,Best Gluten free mix ever!,1,1,1.0,26,Positive,love mix use muffin recipe back make donuts electric donut makeryum recipes back wonderful
5,"The best horseradish cheese I've ever tasted, I'm addicted. It's spicy and creamy. If you love horseradish this is a product you must try.",amazing,2,2,1.0,24,Positive,best horseradish cheese ive ever tasted im addicted spicy creamy love horseradish product must try
5,"Love this formula. All of the nutrition, none of the ridiculous crap.<br />My son started to self-wean around 8 months, which was devastating for me since I know the wonderful benefits of human milk for human babies. I researched a TON--from goat's milk, to raw milk, to every formula under the sun. This was the best option I could find. The ease of not having to refrigerate it, combined with it being the closest to human milk as you can get--even down to tasting slightly sweet. Yes, I tasted it.<br />I love that they have a lactose-free option that isn't soy. Soy mimics estrogen and should not be fed to infant boys. Or girls, for that matter.<br />It does tend to be foamy when you shake it up, but we just scooped it off with a spoon--no biggie. Even if we didn't remove the foam, son didn't get gassy from it.<br />I know it says it's a Toddler Formula for 12 months and up, but that is because the company is a proponent of breastfeeding for the first year. I actually think it's admirable for them to do that. This company's obviously not like the mass-market big brands.",Perfect formula for an organic family,34,40,0.85,198,Positive,love formula nutrition none ridiculous crapbr son started selfwean around 8 months devastating since know wonderful benefits human milk human babies researched tonfrom goats milk raw milk every formula sun best option could find ease refrigerate combined closest human milk geteven tasting slightly sweet yes tasted itbr love lactosefree option isnt soy soy mimics estrogen fed infant boys girls matterbr tend foamy shake scooped spoonno biggie even didnt remove foam son didnt get gassy itbr know says toddler formula 12 months company proponent breastfeeding first year actually think admirable companys obviously like massmarket big brands
4,"****<br />This is a good, albeit unexciting breakfast tea from Stash. It is made from blended black teas. I much prefer Stash's Organic Breakfast Tea and Stash's Irish Breakfast Tea because both of those have distinctive and pleasurable tastes. However, there is nothing wrong with Stash English Breakfast Tea and it is a good change from basic orange pekoe tea. It can be brewed nice and strong without getting bitter (by brewing it longer), a sign of a good quality tea. Recommended, especially if you enjoy a simple, basic tea.<br />****",Good Basic Tea,2,2,1.0,91,Positive,br good albeit unexciting breakfast tea stash made blended black teas much prefer stashs organic breakfast tea stashs irish breakfast tea distinctive pleasurable tastes however nothing wrong stash english breakfast tea good change basic orange pekoe tea brewed nice strong without getting bitter brewing longer sign good quality tea recommended especially enjoy simple basic teabr
5,"it appears expensive, but for $24, it's the biggest antler in terms of both girth and length than anything i could ever find at a pet foods or specialty store. well worth it to keep my big chewer occupied and happy! plus it doesn't smell bad like some of the other antlers, and this one is cut just enough to give them a little hint of the ""marrow"" but not cut so much that it gets destroyed too quickly.",this thing is huge!,2,2,1.0,79,Positive,appears expensive 24 biggest antler terms girth length anything could ever find pet foods specialty store well worth keep big chewer occupied happy plus doesnt smell bad like antlers one cut enough give little hint marrow cut much gets destroyed quickly
5,This is similar to a herbal that I mix up myself from bulk teas.I now have enough to last all winter.<br />I brew it up then chill it. sometimes I add a little sweetener.,A great tea!,0,0,0.0,34,Positive,similar herbal mix bulk teasi enough last winterbr brew chill sometimes add little sweetener
5,"We just ordered the ""Very Berry"" and the ""Tropical Fruit"" arrived in the same box.<br /><br />Berry - Not crunchy at all. Almost tasted stale. Very broken up pieces.<br />Tropical - We loved! They were crunchy. This also had strawberries in it and they were crunchy. Also these fruit pieces were a nice size, didn't get pulverized in shipping.",LOVE THESE! Very crunchy and tasty. Great for toddlers.,0,0,0.0,59,Positive,ordered berry tropical fruit arrived boxbr br berry crunchy almost tasted stale broken piecesbr tropical loved crunchy also strawberries crunchy also fruit pieces nice size didnt get pulverized shipping
5,Very Good product. Made an excellent cup of tea. The picture doesn't do the bag Justice as it has a zip-lock feature. It will take some time to drink all of this one bag and I purchased 4 different varieties. The zip-lock bag would do well if I were were drinking from only one. I vacuum packed 3/4 of each and stored them in the freezer. The partial bags are in the fridge ready to use. I'm looking forward to drinking these fine organic teas for some time to come and save big $s as well.,Quality Bargain,1,1,1.0,96,Positive,good product made excellent cup tea picture doesnt bag justice ziplock feature take time drink one bag purchased 4 different varieties ziplock bag would well drinking one vacuum packed 34 stored freezer partial bags fridge ready use im looking forward drinking fine organic teas time come save big well
1,I was given a track number and told it was delivered to my POBOX.  It never happened.  I received a refund and am now in the process of wating for my new reorder.,Never Received Goat Milk,0,21,0.0,33,Negative,given track number told delivered pobox never happened received refund process wating new reorder
5,I love this product it makes great lemon pepper wings. My mother actually recommended it to me.,This product is great,1,2,0.5,17,Positive,love product makes great lemon pepper wings mother actually recommended
4,"This is a great, yummy snack! It's healthy and easy to grab on the go AND still tastes great. I would recommend it to anyone, especially if you love Banana Nut Bread... it tastes just like the real thing.",Yum!,0,0,0.0,39,Positive,great yummy snack healthy easy grab go still tastes great would recommend anyone especially love banana nut bread tastes like real thing
5,"I have personally been on a mission to find my favorite jerky for a few years now.  This is by far my favorite jerky - just a little spicy, great texture, perfect size for a snack, and pretty healthy besides sodium.",Best jerky size/brand/flavor you can get,0,0,0.0,41,Positive,personally mission find favorite jerky years far favorite jerky little spicy great texture perfect size snack pretty healthy besides sodium
5,"This is my very first experience with vanilla beans. I recieved them one day after ordering. I knew they arrived as soon as the mail lady showed up at my door, I could smell them from two rooms away. I've since used them in baking and making ice cream, and I put the used beans in my sugar jar to make vanilla sugar. I'm going to use the 20% off coupon I recieved with my order to buy Tahitian Vanilla beans to make vanilla extract.<br />They're gorgeous. I'm hooked!",First time Vanilla Bean user.,0,0,0.0,89,Positive,first experience vanilla beans recieved one day ordering knew arrived soon mail lady showed door could smell two rooms away ive since used baking making ice cream put used beans sugar jar make vanilla sugar im going use 20 coupon recieved order buy tahitian vanilla beans make vanilla extractbr theyre gorgeous im hooked
5,"This is a fabulous healthy snack. 120 cals, 1 fat, 3 fiber and 6 protein for 1/2 cup serving. 2 points per servicing on Weight Watchers. I like them because hot curbs my appetite and they are super crunchy. Some people dont like the crunch I eat them kinda like popcorn or potato chips as a healthy snack. Available in 4.4 oz bag or 5lb bag. Go with subscribe and save and save money!!! You will not find them cheaper any where other than Amazon.",Great low fat and CRUNCHY SNACK,1,1,1.0,85,Positive,fabulous healthy snack 120 cals 1 fat 3 fiber 6 protein 12 cup serving 2 points per servicing weight watchers like hot curbs appetite super crunchy people dont like crunch eat kinda like popcorn potato chips healthy snack available 44 oz bag 5lb bag go subscribe save save money find cheaper amazon
5,"One of my top favorites, it's infused with coconut and has a very unique flavor.  This coffee is best enjoyed without cream or sugar, and it will ether become one of your favorites or you'll never buy it again. Some of my other favorites are Vanilla Biscotti, Butter Toffee, Hawaiian Hazelnut, and Donut Shop.",One of my top favorites.,0,0,0.0,54,Positive,one top favorites infused coconut unique flavor coffee best enjoyed without cream sugar ether become one favorites youll never buy favorites vanilla biscotti butter toffee hawaiian hazelnut donut shop
1,"I used Fresh Step and Scoop Away cat litters for many years and was quick to tell any of my cat owner friends that they were the best ""bang for the buck"" litters. They clumped hard, making the chore of cleaning the cat box a relatively easy one. Sometime around 6 months ago, that all changed. Now, they form a sludge in the cat box that is nearly impossible to scrape out. The amount of effort necessary to clean the box could easily induce a muscle strain or hernia for those unfortunate enough to purchase one of these litters. Both products are made by the Clorox Pet products Co. Consider yourself warned!",Hernia Inducing Cat Litter,2,3,0.6666666666666666,112,Negative,used fresh step scoop away cat litters many years quick tell cat owner friends best bang buck litters clumped hard making chore cleaning cat box relatively easy one sometime around 6 months ago changed form sludge cat box nearly impossible scrape amount effort necessary clean box could easily induce muscle strain hernia unfortunate enough purchase one litters products made clorox pet products co consider warned
5,"I happened upon Tierra at a TJMax and thought I'd give it a try.  Best decision I've made.  The  medium roast can only be described as ""mellow"". It has a rich, smooth, full-bodied flavor without a bite. A cup of this coffee is a great way to start the day. It is the closest coffee to Starbuck's discontinued ""Lite Note Blend"". I now keep a stash (3 pk) on hand to ensure I don't run out.",Perfect Breakfast Coffee!,0,0,0.0,76,Positive,happened upon tierra tjmax thought id give try best decision ive made medium roast described mellow rich smooth fullbodied flavor without bite cup coffee great way start day closest coffee starbucks discontinued lite note blend keep stash 3 pk hand ensure dont run
